,Location,WHO region,World Bank income group,Period,Sex,FactValueNumeric,Comments,ParentLocation,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocationr,Location type,SpatialDimValueCode,Period type,Periodr,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumericr,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
63,Ghana,,,2019,Both sexes,618.2837,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,GHA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,90.27,,,68.65,,113.8,90 [69-114],,,EN,2024-10-02T22:00:00.000Z
65,Grenada,,,2019,Both sexes,617.9438,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,GRD,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,30.37,,,19.62,,40.87,30 [20-41],,,EN,2024-10-02T22:00:00.000Z
66,Guatemala,,,2019,Both sexes,496.5364,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,GTM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,40.41,,,29.62,,51.4,40 [30-51],,,EN,2024-10-02T22:00:00.000Z
67,Guinea,,,2019,Both sexes,660.1686,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,GIN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,96.71,,,67.33,,130.1,97 [67-130],,,EN,2024-10-02T22:00:00.000Z
68,Guinea-Bissau,,,2019,Both sexes,672.0589,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,GNB,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,90.92,,,61.42,,125.8,91 [61-126],,,EN,2024-10-02T22:00:00.000Z
69,Guyana,,,2019,Both sexes,800.5491,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,GUY,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,52.17,,,26.41,,76.88,52 [26-77],,,EN,2024-10-02T22:00:00.000Z
70,Haiti,,,2019,Both sexes,837.3337,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,HTI,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,50.67,,,21.98,,77.72,51 [22-78],,,EN,2024-10-02T22:00:00.000Z
71,Honduras,,,2019,Both sexes,613.4653,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,HND,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,48.99,,,35.0,,63.74,49 [35-64],,,EN,2024-10-02T22:00:00.000Z
81,Jamaica,,,2019,Both sexes,454.3693,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,JAM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,21.63,,,15.44,,28.59,22 [15-29],,,EN,2024-10-02T22:00:00.000Z
85,Kenya,,,2019,Both sexes,587.0545,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,KEN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,33.39,,,19.91,,47.97,33 [20-48],,,EN,2024-10-02T22:00:00.000Z
92,Lesotho,,,2019,Both sexes,1137.235,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,LSO,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,101.1,,,67.45,,134.1,101 [67-134],,,EN,2024-10-02T22:00:00.000Z
93,Liberia,,,2019,Both sexes,506.4478,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,LBR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,61.0,,,41.75,,80.82,61 [42-81],,,EN,2024-10-02T22:00:00.000Z
97,Madagascar,,,2019,Both sexes,665.2159,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,MDG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,58.92,,,39.71,,81.03,59 [40-81],,,EN,2024-10-02T22:00:00.000Z
98,Malawi,,,2019,Both sexes,589.8055,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,MWI,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,43.58,,,15.03,,68.39,44 [15-68],,,EN,2024-10-02T22:00:00.000Z
101,Mali,,,2019,Both sexes,611.4052,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,MLI,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,68.16,,,43.74,,96.88,68 [44-97],,,EN,2024-10-02T22:00:00.000Z
103,Mauritania,,,2019,Both sexes,476.2181,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,MRT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,64.45,,,39.63,,89.86,64 [40-90],,,EN,2024-10-02T22:00:00.000Z
104,Mauritius,,,2019,Both sexes,581.4777,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,MUS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,27.8,,,18.29,,37.48,28 [18-37],,,EN,2024-10-02T22:00:00.000Z
